UUID        = 49904865-0078-4cf5-ad73-2cd0cd9e30bb
ScanDate    = 20191029_113315
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     16700041     PULS   2311 
     16700043     PULS   2282 
     16700045     PULS   2255 
     16700047     PULS   2230 
     16700049     PULS   2205 
     16700051     PULS   2182 
     16700053     PULS   2160 
     16700055     PULS   2141 
     16700057     PULS   2122 
     16700059     PULS   2106 
     16700061     PULS   2092 
     16700063     PULS   2079 
     16700065     PULS   2067 
     16700067     PULS   2057 
     16700069     PULS   2049 
     16700071     PULS   2041 
     16700073     PULS   2034 
     16700075     PULS   2029 
     16700077     PULS   2023 
     16700079     PULS   2019 
     16700081     PULS   2014 
     16700083     PULS   2010 
     16700085     PULS   2005 
     16700087     PULS   2000 
     16700089     PULS   1996 
     16700091     PULS   1990 
     16700093     PULS   1985 
     16700095     PULS   1979 
     16700097     PULS   1973 
     16700099     PULS   1966 
     16700101     PULS   1960 
     16700103     PULS   1952 
     16700105     PULS   1944 
     16700107     PULS   1935 
     16700109     PULS   1927 
     16700111     PULS   1918 
     16700113     PULS   1908 
     16700115     PULS   1899 
     16700117     PULS   1890 
     16700119     PULS   1880 
     16700121     PULS   1870 
     16700123     PULS   1860 
     16700125     PULS   1849 
     16700127     PULS   1838 
     16700129     PULS   1827 
     16700131     PULS   1816 
     16700133     PULS   1805 
     16700135     PULS   1793 
     16700137     PULS   1781 
     16700139     PULS   1770 
     16700141     PULS   1759 
     16700143     PULS   1748 
     16700145     PULS   1736 
     16700147     PULS   1726 
     16700149     PULS   1715 
     16700151     PULS   1704 
     16700153     PULS   1693 
     16700155     PULS   1682 
     16700157     PULS   1671 
     16700159     PULS   1660 
     16700161     PULS   1648 
     16700163     PULS   1638 
     16700165     PULS   1626 
     16700167     PULS   1616 
     16700169     PULS   1605 
     16700171     PULS   1595 
     16700173     PULS   1585 
     16700175     PULS   1575 
     16700177     PULS   1565 
     16700179     PULS   1554 
     16700181     PULS   1545 
     16700183     PULS   1535 
     16700185     PULS   1525 
     16700187     PULS   1516 
     16700189     PULS   1507 
     16700191     PULS   1499 
     16700193     PULS   1490 
     16700195     PULS   1482 
     16700197     PULS   1474 
     16700199     PULS   1465 
     16700201     PULS   1457 
     16700203     PULS   1449 
     16700205     PULS   1442 
     16700207     PULS   1434 
     16700209     PULS   1428 
     16700211     PULS   1421 
     16700213     PULS   1415 
     16700215     PULS   1408 
     16700217     PULS   1402 
     16700219     PULS   1397 
     16700221     PULS   1391 
     16700223     PULS   1386 
     16700225     PULS   1380 
     16700227     PULS   1375 
     16700229     PULS   1370 
     16700231     PULS   1366 
     16700233     PULS   1362 
     16700235     PULS   1358 
     16700237     PULS   1355 
     16700239     PULS   1352 
     16700241     PULS   1348 
     16700243     PULS   1346 
     16700245     PULS   1343 
     16700247     PULS   1341 
     16700249     PULS   1339 
     16700251     PULS   1337 
     16700253     PULS   1335 
     16700255     PULS   1333 
     16700257     PULS   1331 
     16700259     PULS   1330 
     16700261     PULS   1330 
     16700263     PULS   1331 
     16700265     PULS   1334 
     16700267     PULS   1340 
     16700269     PULS   1352 
     16700271     PULS   1369 
     16700273     PULS   1393 
     16700275     PULS   1425 
     16700277     PULS   1466 
     16700279     PULS   1514 
     16700281     PULS   1572 
     16700283     PULS   1637 
     16700285     PULS   1710 
     16700287     PULS   1789 
     16700289     PULS   1874 
     16700291     PULS   1962 
     16700293     PULS   2052 
     16700295     PULS   2143 
     16700297     PULS   2234 
     16700299     PULS   2323 
     16700301     PULS   2409 
     16700303     PULS   2493 
     16700305     PULS   2572 
     16700307     PULS   2648 
     16700309     PULS   2719 
     16700311     PULS   2784 
     16700313     PULS   2844 
     16700315     PULS   2899 
     16700317     PULS   2948 
     16700319     PULS   2991 
     16700321     PULS   3029 
     16700323     PULS   3061 
     16700325     PULS   3089 
     16700327     PULS   3111 
     16700329     PULS   3128 
     16700331     PULS   3141 
     16700333     PULS   3151 
     16700335     PULS   3156 
     16700337     PULS   3157 
     16700339     PULS   3155 
     16700341     PULS   3149 
     16700343     PULS   3140 
     16700345     PULS   3129 
     16700347     PULS   3114 
     16700349     PULS   3097 
     16700351     PULS   3078 
     16700353     PULS   3058 
     16700355     PULS   3036 
     16700357     PULS   3013  PULS_TRIGGER
     16700359     PULS   2990 
     16700361     PULS   2965 
     16700363     PULS   2940 
     16700365     PULS   2914 
     16700367     PULS   2889 
     16700369     PULS   2862 
     16700371     PULS   2835 
     16700373     PULS   2808 
     16700375     PULS   2780 
     16700377     PULS   2753 
     16700379     PULS   2724 
     16700381     PULS   2695 
     16700383     PULS   2665 
     16700385     PULS   2635 
     16700387     PULS   2604 
     16700389     PULS   2574 
     16700391     PULS   2543 
     16700393     PULS   2512 
     16700395     PULS   2482 
     16700397     PULS   2452 
     16700399     PULS   2421 
     16700401     PULS   2392 
     16700403     PULS   2364 
     16700405     PULS   2336 
     16700407     PULS   2309 
     16700409     PULS   2283 
     16700411     PULS   2259 
     16700413     PULS   2237 
     16700415     PULS   2216 
     16700417     PULS   2196 
     16700419     PULS   2179 
     16700421     PULS   2163 
     16700423     PULS   2149 
     16700425     PULS   2137 
     16700427     PULS   2126 
     16700429     PULS   2116 
     16700431     PULS   2108 
     16700433     PULS   2099 
     16700435     PULS   2092 
     16700437     PULS   2084 
     16700439     PULS   2078 
     16700441     PULS   2071 
     16700443     PULS   2065 
     16700445     PULS   2059 
     16700447     PULS   2054 
     16700451     PULS   2039 
     16700453     PULS   2031 
     16700455     PULS   2022 
     16700457     PULS   2013 
     16700459     PULS   2004 
     16700461     PULS   1994 
     16700463     PULS   1983 
     16700465     PULS   1972 
     16700467     PULS   1960 
     16700469     PULS   1947 
     16700471     PULS   1934 
     16700473     PULS   1920 
     16700475     PULS   1905 
     16700477     PULS   1890 
     16700479     PULS   1874 
     16700481     PULS   1858 
     16700483     PULS   1842 
     16700485     PULS   1826 
     16700487     PULS   1808 
     16700489     PULS   1793 
     16700491     PULS   1776 
     16700493     PULS   1760 
     16700495     PULS   1743 
     16700497     PULS   1727 
     16700499     PULS   1710 
     16700501     PULS   1693 
     16700503     PULS   1676 
     16700505     PULS   1658 
     16700507     PULS   1640 
     16700509     PULS   1622 
     16700511     PULS   1604 
     16700513     PULS   1585 
     16700515     PULS   1567 
     16700517     PULS   1550 
     16700519     PULS   1533 
     16700521     PULS   1517 
     16700523     PULS   1502 
     16700525     PULS   1486 
     16700527     PULS   1471 
     16700529     PULS   1456 
     16700531     PULS   1442 
     16700533     PULS   1427 
     16700535     PULS   1412 
     16700537     PULS   1398 
     16700539     PULS   1385 
     16700541     PULS   1370 
     16700543     PULS   1356  ECG_TRIGGER
     16700545     PULS   1342 
     16700547     PULS   1329 
     16700549     PULS   1317 
     16700551     PULS   1305 
     16700553     PULS   1294 
     16700555     PULS   1283 
     16700557     PULS   1272 
     16700559     PULS   1263 
     16700561     PULS   1254 
     16700563     PULS   1247 
     16700565     PULS   1239 
     16700567     PULS   1233 
     16700569     PULS   1228 
     16700571     PULS   1222 
     16700573     PULS   1216 
     16700575     PULS   1211 
     16700577     PULS   1205 
     16700579     PULS   1199 
     16700581     PULS   1193 
     16700583     PULS   1187 
     16700585     PULS   1183 
     16700587     PULS   1176 
     16700589     PULS   1171 
     16700591     PULS   1166 
     16700593     PULS   1161 
     16700595     PULS   1157 
     16700597     PULS   1157 
     16700599     PULS   1159 
     16700601     PULS   1166 
     16700603     PULS   1178 
     16700605     PULS   1199 
     16700607     PULS   1228 
     16700609     PULS   1268 
     16700611     PULS   1318 
     16700613     PULS   1380 
     16700615     PULS   1454 
     16700617     PULS   1538 
     16700619     PULS   1632 
     16700621     PULS   1734 
     16700623     PULS   1843 
     16700625     PULS   1956 
     16700627     PULS   2072 
     16700629     PULS   2189 
     16700631     PULS   2306 
     16700633     PULS   2423 
     16700635     PULS   2534 
     16700637     PULS   2643 
     16700639     PULS   2747 
     16700641     PULS   2844 
     16700643     PULS   2935 
     16700645     PULS   3020 
     16700647     PULS   3098 
     16700649     PULS   3168 
     16700651     PULS   3233 
     16700653     PULS   3289 
     16700655     PULS   3338 
     16700657     PULS   3380 
     16700659     PULS   3414 
     16700661     PULS   3443 
     16700663     PULS   3464 
     16700665     PULS   3479 
     16700667     PULS   3487 
     16700669     PULS   3490 
     16700671     PULS   3488 
     16700673     PULS   3481 
     16700675     PULS   3468 
     16700677     PULS   3452 
     16700679     PULS   3432 
     16700681     PULS   3410 
     16700683     PULS   3384 
     16700685     PULS   3356 
     16700687     PULS   3326 
     16700689     PULS   3295  PULS_TRIGGER
     16700691     PULS   3262 
     16700693     PULS   3227 
     16700695     PULS   3191 
     16700697     PULS   3155 
     16700699     PULS   3116 
     16700701     PULS   3077 
     16700703     PULS   3038 
     16700705     PULS   2997 
     16700707     PULS   2957 
     16700709     PULS   2915 
     16700711     PULS   2873 
     16700713     PULS   2829 
     16700715     PULS   2785 
     16700717     PULS   2740 
     16700719     PULS   2694 
     16700721     PULS   2649 
     16700723     PULS   2603 
     16700725     PULS   2558 
     16700727     PULS   2513 
     16700729     PULS   2468 
     16700731     PULS   2426 
     16700733     PULS   2384 
     16700735     PULS   2345 
     16700737     PULS   2307 
     16700739     PULS   2273 
     16700741     PULS   2240 
     16700743     PULS   2209 
     16700745     PULS   2181 
     16700747     PULS   2156 
     16700749     PULS   2135 
     16700751     PULS   2116 
     16700753     PULS   2099 
     16700755     PULS   2086 
     16700757     PULS   2074 
     16700759     PULS   2065 
     16700761     PULS   2057 
     16700763     PULS   2051 
     16700765     PULS   2047 
     16700767     PULS   2043 
     16700769     PULS   2040 
     16700771     PULS   2038 
     16700773     PULS   2036 
     16700775     PULS   2034 
     16700777     PULS   2032 
     16700779     PULS   2030 
     16700781     PULS   2027 
     16700783     PULS   2022 
     16700785     PULS   2018 
     16700787     PULS   2012 
     16700789     PULS   2006 
     16700791     PULS   1998 
     16700793     PULS   1990 
     16700795     PULS   1980 
     16700797     PULS   1970 
     16700799     PULS   1958 
     16700801     PULS   1945 
     16700803     PULS   1931 
     16700805     PULS   1916 
     16700807     PULS   1901 
     16700809     PULS   1884 
     16700811     PULS   1868 
     16700813     PULS   1850 
     16700815     PULS   1832 
     16700817     PULS   1814 
     16700819     PULS   1796 
     16700821     PULS   1778 
     16700823     PULS   1760 
     16700825     PULS   1742 
     16700827     PULS   1724 
     16700829     PULS   1705 
     16700831     PULS   1687 
     16700833     PULS   1668 
     16700835     PULS   1649 
     16700837     PULS   1632 
     16700839     PULS   1615 
     16700841     PULS   1598 
     16700843     PULS   1580 
     16700845     PULS   1563 
     16700847     PULS   1545 
     16700849     PULS   1526 
     16700851     PULS   1510 
     16700853     PULS   1491 
     16700855     PULS   1473 
     16700857     PULS   1454 
     16700859     PULS   1437 
     16700861     PULS   1420 
     16700863     PULS   1403 
     16700865     PULS   1386 
     16700867     PULS   1370 
     16700869     PULS   1353 
     16700871     PULS   1337 
     16700873     PULS   1322 
     16700875     PULS   1307 
     16700877     PULS   1292 
     16700879     PULS   1279 
     16700881     PULS   1266 
     16700883     PULS   1253 
     16700885     PULS   1241 
     16700887     PULS   1229 
     16700889     PULS   1217 
     16700891     PULS   1207 
     16700893     PULS   1196 
     16700895     PULS   1187 
     16700897     PULS   1178 
     16700899     PULS   1169 
     16700901     PULS   1162 
     16700903     PULS   1154  ECG_TRIGGER
     16700905     PULS   1148 
     16700907     PULS   1144 
     16700909     PULS   1139 
     16700911     PULS   1133 
     16700913     PULS   1129 
     16700915     PULS   1124 
     16700917     PULS   1119 
     16700919     PULS   1115 
     16700921     PULS   1112 
     16700923     PULS   1112 
     16700925     PULS   1115 
     16700927     PULS   1123 
     16700929     PULS   1137 
     16700931     PULS   1162 
     16700933     PULS   1194 
     16700935     PULS   1239 
     16700937     PULS   1295 
     16700939     PULS   1364 
     16700941     PULS   1442 
     16700943     PULS   1533 
     16700945     PULS   1633 
     16700947     PULS   1742 
     16700949     PULS   1857 
     16700951     PULS   1976 
     16700953     PULS   2099 
     16700955     PULS   2224 
     16700957     PULS   2348 
     16700959     PULS   2469 
     16700961     PULS   2588 
     16700963     PULS   2702 
     16700965     PULS   2813 
     16700967     PULS   2916 
     16700969     PULS   3014 
     16700971     PULS   3104 
     16700973     PULS   3188 
     16700975     PULS   3265 
     16700977     PULS   3332 
     16700979     PULS   3395 
     16700981     PULS   3448 
     16700983     PULS   3494 
     16700985     PULS   3533 
     16700987     PULS   3566 
     16700989     PULS   3591 
     16700991     PULS   3611 
     16700993     PULS   3624 
     16700995     PULS   3632 
     16700997     PULS   3634 
     16700999     PULS   3631 
     16701001     PULS   3625 
     16701003     PULS   3614 
     16701005     PULS   3599 
     16701007     PULS   3581 
     16701009     PULS   3561 
     16701011     PULS   3537 
     16701013     PULS   3511 
     16701015     PULS   3483 
     16701017     PULS   3452  PULS_TRIGGER
     16701019     PULS   3421 
     16701021     PULS   3387 
     16701023     PULS   3353 
     16701025     PULS   3318 
     16701027     PULS   3281 
     16701029     PULS   3244 
     16701031     PULS   3205 
     16701033     PULS   3164 
     16701035     PULS   3125 
     16701037     PULS   3083 
     16701039     PULS   3042 
     16701041     PULS   2999 
     16701043     PULS   2956 
     16701045     PULS   2911 
     16701047     PULS   2866 
     16701049     PULS   2820 
     16701051     PULS   2774 
     16701053     PULS   2726 
     16701055     PULS   2680 
     16701057     PULS   2633 
     16701059     PULS   2586 
     16701061     PULS   2541 
     16701063     PULS   2497 
     16701065     PULS   2453 
     16701067     PULS   2411 
     16701069     PULS   2372 
     16701071     PULS   2334 
     16701073     PULS   2299 
     16701075     PULS   2266 
     16701077     PULS   2235 
     16701079     PULS   2207 
     16701081     PULS   2181 
     16701083     PULS   2159 
     16701085     PULS   2139 
     16701087     PULS   2122 
     16701089     PULS   2107 
     16701091     PULS   2093 
     16701093     PULS   2082 
     16701095     PULS   2072 
     16701097     PULS   2063 
     16701099     PULS   2054 
     16701101     PULS   2046 
     16701103     PULS   2038 
     16701105     PULS   2030 
     16701107     PULS   2021 
     16701109     PULS   2013 
     16701111     PULS   2005 
     16701113     PULS   1996 
     16701115     PULS   1987 
     16701117     PULS   1977 
     16701119     PULS   1968 
     16701121     PULS   1958 
     16701123     PULS   1948 
     16701125     PULS   1937 
     16701127     PULS   1925 
     16701129     PULS   1913 
     16701131     PULS   1900 
     16701133     PULS   1886 
     16701135     PULS   1871 
     16701137     PULS   1855 
     16701139     PULS   1838 
     16701141     PULS   1823 
     16701143     PULS   1805 
     16701145     PULS   1787 
     16701147     PULS   1769 
     16701149     PULS   1751 
     16701151     PULS   1733 
     16701153     PULS   1715 
     16701155     PULS   1697 
     16701157     PULS   1678 
     16701159     PULS   1659 
     16701161     PULS   1640 
     16701163     PULS   1621 
     16701165     PULS   1602 
     16701167     PULS   1583 
     16701169     PULS   1563 
     16701171     PULS   1544 
     16701173     PULS   1524 
     16701175     PULS   1504 
     16701177     PULS   1484 
     16701179     PULS   1465 
     16701181     PULS   1445 
     16701183     PULS   1427 
     16701185     PULS   1409 
     16701187     PULS   1391 
     16701189     PULS   1373 
     16701191     PULS   1356 
     16701193     PULS   1339 
     16701195     PULS   1322 
     16701197     PULS   1307 
     16701199     PULS   1292 
     16701201     PULS   1277 
     16701203     PULS   1262 
     16701205     PULS   1248 
     16701207     PULS   1234 
     16701209     PULS   1221 
     16701211     PULS   1208 
     16701213     PULS   1196 
     16701215     PULS   1184 
     16701217     PULS   1174 
     16701219     PULS   1163 
     16701221     PULS   1155 
     16701223     PULS   1146 
     16701225     PULS   1139 
     16701227     PULS   1130 
     16701229     PULS   1123 
     16701231     PULS   1117 
     16701233     PULS   1111 
     16701235     PULS   1106 
     16701237     PULS   1100 
     16701239     PULS   1096 
     16701241     PULS   1092 
     16701243     PULS   1088 
     16701245     PULS   1085 
     16701247     PULS   1080 
     16701249     PULS   1076 
     16701251     PULS   1072 
     16701253     PULS   1067 
     16701255     PULS   1063 
     16701257     PULS   1059 
     16701259     PULS   1055 
     16701261     PULS   1052 
     16701263     PULS   1049 
     16701265     PULS   1049 
     16701267     PULS   1051 
     16701269     PULS   1057 
     16701271     PULS   1069 
     16701273     PULS   1088 
     16701275     PULS   1116 
     16701277     PULS   1154 
     16701279     PULS   1202 
     16701281     PULS   1263 
     16701283     PULS   1337 
     16701285     PULS   1421 
     16701287     PULS   1514 
     16701289     PULS   1617 
     16701291     PULS   1727 
     16701293     PULS   1841 
     16701295     PULS   1961 
     16701297     PULS   2081 
     16701299     PULS   2202 
     16701301     PULS   2322 
     16701303     PULS   2439 
     16701305     PULS   2553 
     16701307     PULS   2662 
     16701309     PULS   2765 
     16701311     PULS   2863 
     16701313     PULS   2954 
     16701315     PULS   3038 
     16701317     PULS   3114 
     16701319     PULS   3182 
     16701321     PULS   3245 
     16701323     PULS   3297 
     16701325     PULS   3343 
     16701327     PULS   3382 
     16701329     PULS   3413 
     16701331     PULS   3437 
     16701333     PULS   3455 
     16701335     PULS   3466 
     16701337     PULS   3471 
     16701339     PULS   3470 
     16701341     PULS   3465 
     16701343     PULS   3454 
     16701345     PULS   3440 
     16701347     PULS   3422 
     16701349     PULS   3401 
     16701351     PULS   3377 
     16701353     PULS   3350 
     16701355     PULS   3323 
     16701357     PULS   3293  PULS_TRIGGER
     16701359     PULS   3263 
     16701361     PULS   3230 
     16701363     PULS   3197 
     16701365     PULS   3162 
     16701367     PULS   3126 
     16701369     PULS   3089 
     16701371     PULS   3051 
     16701373     PULS   3012 
     16701375     PULS   2972 
     16701377     PULS   2931 
     16701379     PULS   2890 
     16701381     PULS   2848 
     16701383     PULS   2804 
     16701385     PULS   2760 
     16701387     PULS   2716 
     16701389     PULS   2672 
     16701391     PULS   2628 
     16701393     PULS   2584 
     16701395     PULS   2540 
     16701397     PULS   2498 
     16701399     PULS   2456 
     16701401     PULS   2417 
     16701403     PULS   2378 
     16701405     PULS   2342 
     16701407     PULS   2307 
     16701409     PULS   2276 
     16701411     PULS   2246 
     16701413     PULS   2218 
     16701415     PULS   2193 
     16701417     PULS   2171 
     16701419     PULS   2153 
     16701421     PULS   2136 
     16701423     PULS   2123 
     16701425     PULS   2111 
     16701427     PULS   2101 
     16701429     PULS   2093 
     16701431     PULS   2088 
     16701433     PULS   2083 
     16701435     PULS   2079 
     16701437     PULS   2077 
     16701439     PULS   2074 
     16701441     PULS   2071 
     16701443     PULS   2068 
     16701445     PULS   2065 
     16701447     PULS   2061 
     16701449     PULS   2055 
     16701451     PULS   2051 
     16701453     PULS   2045 
     16701455     PULS   2037 
     16701457     PULS   2030 
     16701459     PULS   2021 
     16701461     PULS   2012 
     16701463     PULS   2002 
     16701465     PULS   1991 
     16701467     PULS   1979 
     16701469     PULS   1967 
     16701471     PULS   1955 
     16701473     PULS   1942 
     16701475     PULS   1928 
     16701477     PULS   1913 
     16701479     PULS   1898 
     16701481     PULS   1883 
     16701483     PULS   1868 
     16701485     PULS   1852 
     16701487     PULS   1836 
     16701489     PULS   1820 
     16701491     PULS   1803 
     16701493     PULS   1785 
     16701495     PULS   1767 
     16701497     PULS   1751 
     16701499     PULS   1733 
     16701501     PULS   1715 
     16701503     PULS   1697 
     16701505     PULS   1679 
     16701507     PULS   1662 
     16701509     PULS   1644 
     16701511     PULS   1627 
     16701513     PULS   1608 
     16701515     PULS   1590 
     16701517     PULS   1573 
     16701519     PULS   1556 
     16701521     PULS   1538 
     16701523     PULS   1520 
     16701525     PULS   1502 
     16701527     PULS   1484 
     16701529     PULS   1466 
     16701531     PULS   1449 
     16701533     PULS   1433 
     16701535     PULS   1416 
     16701537     PULS   1400 
     16701539     PULS   1385 
     16701541     PULS   1371 
     16701543     PULS   1357 
     16701545     PULS   1343 
     16701547     PULS   1331 
     16701549     PULS   1319 
     16701551     PULS   1307 
     16701553     PULS   1295 
     16701555     PULS   1286 
     16701557     PULS   1277 
     16701559     PULS   1268 
     16701561     PULS   1260 
     16701563     PULS   1253 
     16701565     PULS   1247 
     16701567     PULS   1240 
     16701569     PULS   1235 
     16701571     PULS   1229 
     16701573     PULS   1223 
     16701575     PULS   1217  ECG_TRIGGER
     16701577     PULS   1211 
     16701579     PULS   1205 
     16701581     PULS   1199 
     16701583     PULS   1193 
     16701585     PULS   1188 
     16701587     PULS   1183 
     16701589     PULS   1180 
     16701591     PULS   1178 
     16701593     PULS   1180 
     16701595     PULS   1185 
     16701597     PULS   1197 
     16701599     PULS   1216 
     16701601     PULS   1244 
     16701603     PULS   1282 
     16701605     PULS   1331 
     16701607     PULS   1390 
     16701609     PULS   1460 
     16701611     PULS   1542 
     16701613     PULS   1632 
     16701615     PULS   1731 
     16701617     PULS   1836 
     16701619     PULS   1946 
     16701621     PULS   2060 
     16701623     PULS   2174 
     16701625     PULS   2290 
     16701627     PULS   2403 
     16701629     PULS   2515 
     16701631     PULS   2622 
     16701633     PULS   2726 
     16701635     PULS   2825 
     16701637     PULS   2917 
     16701639     PULS   3003 
     16701641     PULS   3083 
     16701643     PULS   3157 
     16701645     PULS   3224 
     16701647     PULS   3283 
     16701649     PULS   3335 
     16701651     PULS   3380 
     16701653     PULS   3419 
     16701655     PULS   3452 
     16701657     PULS   3478 
     16701659     PULS   3497 
     16701661     PULS   3512 
