UUID        = 49904865-0078-4cf5-ad73-2cd0cd9e30bb
ScanDate    = 20191029_113315
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     16701509     RESP   1548 
     16701517     RESP   1428 
     16701525     RESP   1343 
     16701533     RESP   1268 
     16701541     RESP   1218 
     16701549     RESP   1128 
     16701557     RESP   1063 
     16701565     RESP   1003 
     16701573     RESP    948 
     16701581     RESP    863 
     16701589     RESP    773 
     16701597     RESP    668 
     16701605     RESP    573 
     16701613     RESP    483 
     16701621     RESP    403 
     16701629     RESP    298 
     16701637     RESP    253 
     16701645     RESP    208 
     16701653     RESP    163 
     16701661     RESP    133 
     16701669     RESP     88 
     16701677     RESP     68 
     16701685     RESP     53 
     16701693     RESP     38 
     16701701     RESP     23 
     16701709     RESP      8 
     16701717     RESP      0 
     16701725     RESP      0 
     16701733     RESP      0 
     16701741     RESP      0 
     16701749     RESP      0 
     16701757     RESP      0 
     16701765     RESP      0 
     16701773     RESP      0 
     16701781     RESP      0 
     16701789     RESP      0 
     16701797     RESP      0 
     16701805     RESP      0 
     16701813     RESP      0 
     16701821     RESP      3 
     16701829     RESP     28 
     16701837     RESP    123 
     16701845     RESP    233 
     16701853     RESP    388 
     16701861     RESP    563 
     16701869     RESP    733 
     16701877     RESP    903 
     16701885     RESP   1008 
     16701893     RESP   1158 
     16701901     RESP   1308 
     16701909     RESP   1468 
     16701917     RESP   1623 
     16701925     RESP   1758 
     16701933     RESP   1873 
     16701941     RESP   1993 
     16701949     RESP   2108 
     16701957     RESP   2203 
     16701965     RESP   2298 
     16701973     RESP   2408 
     16701981     RESP   2513 
     16701989     RESP   2608 
     16701997     RESP   2728 
     16702005     RESP   2818 
     16702013     RESP   2928 
     16702021     RESP   3038 
     16702029     RESP   3143 
     16702037     RESP   3218 
     16702045     RESP   3333 
     16702053     RESP   3413 
     16702061     RESP   3473 
     16702069     RESP   3548 
     16702077     RESP   3593 
     16702085     RESP   3678 
     16702093     RESP   3773 
     16702101     RESP   3868 
     16702109     RESP   3953 
     16702117     RESP   4038 
     16702125     RESP   4095 
     16702133     RESP   4095 
     16702141     RESP   4095 
     16702149     RESP   4095 
     16702157     RESP   4095 
     16702165     RESP   4095 
     16702173     RESP   4033 
     16702181     RESP   3928 
     16702189     RESP   3818 
     16702197     RESP   3703 
     16702205     RESP   3598 
     16702213     RESP   3488 
     16702221     RESP   3363 
     16702229     RESP   3218 
     16702237     RESP   3128 
     16702245     RESP   3033 
     16702253     RESP   2913 
     16702261     RESP   2798 
     16702269     RESP   2653 
     16702277     RESP   2523 
     16702285     RESP   2398 
     16702293     RESP   2268 
     16702301     RESP   2123 
     16702309     RESP   1973 
     16702317     RESP   1808 
     16702325     RESP   1653 
     16702333     RESP   1468 
     16702341     RESP   1373 
     16702349     RESP   1278 
     16702357     RESP   1188 
     16702365     RESP   1093 
     16702373     RESP    973 
     16702381     RESP    903 
     16702389     RESP    848 
     16702397     RESP    773 
     16702405     RESP    728 
     16702413     RESP    668 
     16702421     RESP    643 
     16702429     RESP    593 
     16702437     RESP    573 
     16702445     RESP    548 
     16702453     RESP    518 
     16702461     RESP    498 
     16702469     RESP    488 
     16702477     RESP    478 
     16702485     RESP    433 
     16702493     RESP    433 
     16702501     RESP    433 
     16702509     RESP    433 
     16702517     RESP    433 
     16702525     RESP    428 
     16702533     RESP    438 
     16702541     RESP    413 
     16702549     RESP    418 
     16702557     RESP    418 
     16702565     RESP    428 
     16702573     RESP    423 
     16702581     RESP    433 
     16702589     RESP    443 
     16702597     RESP    468 
     16702605     RESP    468 
     16702613     RESP    468 
     16702621     RESP    453 
     16702629     RESP    418 
     16702637     RESP    373 
     16702645     RESP    323 
     16702653     RESP    258 
     16702661     RESP    213 
     16702669     RESP    223 
     16702677     RESP    233 
     16702685     RESP    283 
     16702693     RESP    403 
     16702701     RESP    533 
     16702709     RESP    668 
     16702717     RESP    818 
     16702725     RESP    968 
     16702733     RESP   1118 
     16702741     RESP   1278 
     16702749     RESP   1408 
     16702757     RESP   1548 
     16702765     RESP   1693 
     16702773     RESP   1863 
     16702781     RESP   2038 
     16702789     RESP   2208 
     16702797     RESP   2368 
     16702805     RESP   2513 
     16702813     RESP   2653 
     16702821     RESP   2778 
     16702829     RESP   2878 
     16702837     RESP   2993 
     16702845     RESP   3088 
     16702853     RESP   3183 
     16702861     RESP   3298 
     16702869     RESP   3398 
     16702877     RESP   3513 
     16702885     RESP   3623 
     16702893     RESP   3733 
     16702901     RESP   3848 
     16702909     RESP   3933 
     16702917     RESP   4033 
     16702925     RESP   4095 
     16702933     RESP   4095 
     16702941     RESP   4095 
     16702949     RESP   4095 
     16702957     RESP   4095 
     16702965     RESP   4095 
     16702973     RESP   4095 
     16702981     RESP   4095 
     16702989     RESP   4095 
     16702997     RESP   4095 
     16703005     RESP   4095 
     16703013     RESP   4095 
     16703021     RESP   4058 
     16703029     RESP   3903 
     16703037     RESP   3768 
     16703045     RESP   3618 
     16703053     RESP   3458 
     16703061     RESP   3308 
     16703069     RESP   3153 
     16703077     RESP   3023 
     16703085     RESP   2863 
     16703093     RESP   2693 
     16703101     RESP   2563 
     16703109     RESP   2423 
     16703117     RESP   2288 
     16703125     RESP   2153 
     16703133     RESP   2058 
     16703141     RESP   1908 
     16703149     RESP   1793 
     16703157     RESP   1668 
     16703165     RESP   1548 
     16703173     RESP   1423 
     16703181     RESP   1313 
     16703189     RESP   1213 
     16703197     RESP   1133 
     16703205     RESP   1033 
     16703213     RESP    933 
     16703221     RESP    833 
     16703229     RESP    753 
     16703237     RESP    723 
     16703245     RESP    713 
     16703253     RESP    678 
     16703261     RESP    633 
     16703269     RESP    623 
     16703277     RESP    578 
     16703285     RESP    518 
     16703293     RESP    468 
     16703301     RESP    388 
     16703309     RESP    288 
     16703317     RESP    223 
     16703325     RESP    158 
     16703333     RESP    108 
     16703341     RESP     63 
     16703349     RESP     13 
     16703357     RESP      0 
     16703365     RESP      0 
     16703373     RESP      0 
     16703381     RESP      0 
     16703389     RESP      0 
     16703397     RESP      0 
     16703405     RESP      0 
     16703413     RESP      0 
     16703421     RESP      0 
     16703429     RESP      0 
     16703437     RESP     33 
     16703445     RESP    143 
     16703453     RESP    288 
     16703461     RESP    458 
     16703469     RESP    618 
     16703477     RESP    773 
     16703485     RESP    923 
     16703493     RESP   1063 
     16703501     RESP   1218 
     16703509     RESP   1358 
     16703517     RESP   1498 
     16703525     RESP   1633 
     16703533     RESP   1738 
     16703541     RESP   1958 
     16703549     RESP   2058 
     16703557     RESP   2188 
     16703565     RESP   2328 
     16703573     RESP   2463 
     16703581     RESP   2613 
     16703589     RESP   2748 
     16703597     RESP   2818 
     16703605     RESP   2908 
     16703613     RESP   2978 
     16703621     RESP   3063 
     16703629     RESP   3143 
     16703637     RESP   3233 
     16703645     RESP   3313 
     16703653     RESP   3388 
     16703661     RESP   3458 
     16703669     RESP   3533 
     16703677     RESP   3613 
     16703685     RESP   3668 
     16703693     RESP   3708 
     16703701     RESP   3803 
     16703709     RESP   3878 
     16703717     RESP   3933 
     16703725     RESP   3963 
